isbn,title,publisher,publication_date,book_format,reading_age,print_length,item_weight,length,width,height,rating,number_of_reviews,price,best_sellers_rank,customer_reviews
9781445415512,Disney Flashcards: Princess,parragon,2011-01-01,cards,,,-0.24841176120805816,,,,-0.9970241845853315,-0.2614961016937963,,,-0.9970241845853315
9781941082249,Kumon Pre-K & Up Logic (Kumon Thinking Skills Workbooks),kumon,2015-08-14,paperback,toddler,-0.024332094122630522,-0.15066225471411243,1.3335267461391722,0.9522112154882413,-0.6008115747898395,0.33891010832859864,-0.17611524999912362,-0.2943957075103396,-0.8105012389972401,0.33891010832859864
9781409304616,Peppa Pig: Peppa's Snowy Fun [Board book] Ladybird,ladybird,2009-09-25,board book,,-0.40468980901387247,-0.45089288180265996,-0.9198002724417677,0.08808986067053642,-0.17614560278747862,0.33891010832859864,-0.252789501685458,-0.3619707440476629,0.5699471380635651,0.33891010832859864
9781570644467,Barney And BJ Go To The Zoo,scholastic,1999-01-01,paperback,preschool,-0.3571450946524672,-0.8209445849583116,-0.3331352498526471,0.6770133317883353,-0.6008115747898395,-1.187871940715893,-0.2582662339487676,-0.2555482227376756,-0.47062550790558577,-1.187871940715893
9782764350973,"Thomas & Friends Spills & Thrills Read & Doodle - Learning resources for kids, a magnetic drawing pad, an easy-to-use pen, 22-page board book for reading and drawing",phidal,2020-12-21,board book,toddler,-0.36903127324281854,-0.05291274822016668,1.844636424909997,0.7981004006162943,0.5740976144166922,-0.42448091619364764,-0.26009181136987075,-0.03323614601343823,-0.36548779024549716,-0.42448091619364764
9781338741056,Dog Man: A Tale of Two Kitties: A Graphic Novel (Dog Man #3): From the Creator of Captain Underpants (3),graphix,2021-08-03,kindle,preadolescence,1.0216516218282847,1.5920718039208057,-0.22202445011985916,-0.5613771448612415,0.10696504521409518,0.5297578644591594,2.725991133425392,-0.26175076232322697,-0.8252950675631681,0.5297578644591594
9781445468341,Disney Make it Sparkly - Dress-Up Doll Book: Help the princesses find their party style!,parragon,1766-01-01,paperback,,,-0.4020181285556871,1.2490825383422535,1.4750871945180621,-0.671589236790233,-0.42448091619364764,-0.2557385113657016,-0.012669830545557276,,-0.42448091619364764
9780603563331,Storybook for Everyday of the Week,dean_&_son,,board book,,-0.0005597369419279036,1.0335031953839728,-0.5864678732434038,-1.4530182880489368,4.396091362437939,-1.187871940715893,-0.260653527499441,,,-1.187871940715893
9780753430880,Fur and Feathers,kingfisher,2012-01-01,paperback,,-0.30960038029106196,-0.7965072083348251,0.009086013324339592,-0.49532965277326396,-0.7282113663905477,,,-0.385475104582384,,
9781405234719,Emily Tsl 25 (Thomas Story Library),egmont,2008-01-01,paperback,,-0.29771420170071067,-0.8432873292997849,,,,0.14806235219803623,-0.26009181136987075,-0.287540269021046,,0.14806235219803623
9781472356536,Disney Sofia the First the Floating Palace Deluxe Picture Book,parragon,2014-01-01,paperback,,-0.26205566592965673,-0.42994655898252876,0.986861050972874,1.2164011838401512,-0.7282113663905477,-0.6153286723242083,-0.2586875210459452,-0.29015186463601494,0.7186241320273352,-0.6153286723242083
9781409306177,Peppa Pig Fairy Tale Little Library,ladybird,2000-01-01,paperback,toddler,-0.14319388002614364,-0.590535033936868,-2.373129532946634,-1.7117042987268483,1.9471842572243254,-0.042785403932524495,3.2962734339715527,1.1024814970462118,-0.6612859847494958,-0.042785403932524495
9782764333068,Disney Princess Great Adventures My Busy Book,phidal,2020-12-13,board book,toddler,-0.4403483447849264,1.5920718039208057,0.5513067160203451,0.7155410355063223,1.5508293500221222,0.14806235219803623,-0.1308971015687213,-0.0746952264010713,-0.5981167300225059,0.14806235219803623
9780916119683,Cinderella Dressed In Yellow (Fun and Fantasy Learn to Read),creative_teaching_pr,1998-01-01,paperback,preschool,-0.40468980901387247,-0.8768014458119949,-0.22202445011985916,-0.4237782030112885,-0.6008115747898395,-1.187871940715893,-0.26009181136987075,-0.4775338500100418,-0.04006807545631272,-1.187871940715893
9781743088517,Sing-along Christmas Carols Book and Cd (2012-10-01),hinkler,1851-01-01,hardcover,,-0.446291434080102,0.7989043797985032,1.075749690759104,1.1503536917521733,-0.2893898619881083,-1.3787196968464546,-0.2596705242726931,-0.0861209572165608,0.18666348693235485,-1.3787196968464546
9780375861772,Stuck in the Mud (Thomas & Friends) (Step into Reading),random_house_books_for_young_readers,2009-08-11,library binding,toddler,-0.30960038029106196,-0.8090750020269039,0.00019714934571674511,-0.4237782030112885,-0.7989890283909412,0.33891010832859864,-0.2223164016562738,0.3307549928228681,-0.7701085050537562,0.33891010832859864
9781445407227,Disney CD Read Along: Alice in Wonderland,parragon,2010-10-16,hardcover,,,-0.6533740023972618,,,,-3.478045014282629,-0.2612152436290112,0.05229361037679695,1.1036623860629258,-3.478045014282629
9781338864359,"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 2: The Revenge of the Ridiculous Robo-Boogers: Color Edition (Captain Underpants #7): From the Creator of Dog Man",scholastic,2023-03-07,kindle,preadolescence,0.5462044782142323,1.5920718039208057,-0.22202445011985916,-0.5613771448612415,0.10696504521409518,0.5297578644591594,0.3238121053183677,-0.3404250802241685,-0.8217083042096848,0.5297578644591594
9781409582519,Lift the Flap Shapes,usborne,2015-01-12,hardcover,toddler,-0.40468980901387247,-0.2623759764214789,0.5335289880630986,1.0843061996641963,0.05034291561378036,0.33891010832859864,-0.25040220813478453,0.2925604069539462,-0.3655172839596875,0.33891010832859864
9781488933622,School Zone Beginning Sight Words Flash Cards (new cover),hinkler,,paperback,,,-0.5975171415435786,-1.670909278635414,-2.1024852935807146,1.9471842572243254,,,,,
